,Job-Titles,Department,Salary-interval,Zip
31309,LIEUTENANT-PARAMEDIC,FIRE,"102185.47341914715,131874.52658085286",3500
31310,POLICE COMMUNICATIONS OPERATOR II,OEMC,"60155.47341914715,89844.52658085285",26450
31311,DEPUTY CHIEF,POLICE,"155267.47341914714,184956.52658085286",25510
31312,FIREFIGHTER-EMT,FIRE,"66023.47341914715,95712.52658085285",20290
31313,LIBRARY CLERK,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",28160
31314,SEWER BRICKLAYER,WATER MGMNT,"78505.87341914714,108194.92658085284",2200
31315,POLICE COMMUNICATIONS OPERATOR I,OEMC,"60155.47341914715,89844.52658085285",32230
31316,FOSTER GRANDPARENT,FAMILY & SUPPORT,"60155.47341914715,89844.52658085285",27390
31317,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",27370
31318,FIREFIGHTER,FIRE,"78821.47341914715,108510.52658085285",2110
31319,STUDENT INTERN - MAYOR'S OFFICE,MAYOR'S OFFICE,"60155.47341914715,89844.52658085285",2190
31320,DIR OF SPECIAL EVENTS,CULTURAL AFFAIRS,"105155.47341914715,134844.52658085286",50190
31321,POLICE COMMUNICATIONS OPERATOR I,OEMC,"60155.47341914715,89844.52658085285",1300
31322,WATER CHEMIST IV,WATER MGMNT,"85931.47341914715,115620.52658085285",30114
31323,FREEDOM OF INFORMATION ACT OFFICER,POLICE,"60155.47341914715,89844.52658085285",27210
31324,PARKING ENFORCEMENT AIDE,FINANCE,"60155.47341914715,89844.52658085285",27220
31325,PERSONAL COMPUTER OPERATOR II,POLICE,"60155.47341914715,89844.52658085285",26410
31326,COORDINATING PLANNER,COMMUNITY DEVELOPMENT,"80915.47341914715,110604.52658085285",26780
31327,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",29160
31328,POLICE OFFICER,POLICE,"65171.47341914715,94860.52658085285",9160
31329,SERGEANT,POLICE,"89783.47341914715,119472.52658085285",20253
31330,VETERINARY ASST,ANIMAL CONTRL,"60155.47341914715,89844.52658085285",2720
31331,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",32230
31332,SUPERVISING FIRE COMMUNICATIONS OPERATOR,OEMC,"97267.51341914714,126956.56658085284",2300
31333,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",1310
31334,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",29530
31335,LIEUTENANT-EMT,FIRE,"99479.47341914715,129168.52658085285",1290
31336,HEAD LIBRARY CLERK,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",51270
31337,LAW CLERK,LAW,"60155.47341914715,89844.52658085285",31160
31338,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"79277.47341914715,108966.52658085285",8310
31339,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",29600
31340,FIREFIGHTER-EMT,FIRE,"77429.47341914715,107118.52658085285",29190
31341,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"89087.47341914715,118776.52658085285",20235
31342,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",32390
31343,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",51700
31344,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"82595.47341914715,112284.52658085285",2110
31345,SERGEANT,POLICE,"86597.47341914715,116286.52658085285",27290
31346,ELECTRICAL MECHANIC,GENERAL SERVICES,"81043.47341914715,110732.52658085285",33220
31347,BOOTER - PARKING,FINANCE,"60155.47341914715,89844.52658085285",2600
31348,FIRE ENGINEER,FIRE,"89087.47341914715,118776.52658085285",1430
31349,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",33570
31350,AMBULANCE COMMANDER,FIRE,"106607.47341914715,136296.52658085286",26240
31351,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",1330
31352,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",52150
31353,LIBRARIAN I,PUBLIC LIBRARY,"61703.47341914715,91392.52658085285",1510
31354,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",52330
31355,PARAMEDIC I/C,FIRE,"79277.47341914715,108966.52658085285",51290
31356,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",8300
31357,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"86135.47341914715,115824.52658085285",2000
31358,POOL MOTOR TRUCK DRIVER,AVIATION,"60155.47341914715,89844.52658085285",7460
31359,PROJECT COORD,GENERAL SERVICES,"60155.47341914715,89844.52658085285",2400
31360,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",20279
31361,OFFICE ADMINISTRATOR,CITY CLERK,"87827.47341914715,117516.52658085285",52160
31362,HOSPITALITY WORKER,FAMILY & SUPPORT,"60155.47341914715,89844.52658085285",1800
31363,TRAFFIC CONTROL AIDE-HOURLY,OEMC,"60155.47341914715,89844.52658085285",5340
31364,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",33420
31365,SR LABOR RELATIONS SPECIALIST,LAW,"69479.47341914715,99168.52658085285",26150
31366,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",32310
31367,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",31430
31368,CUSTODIAL WORKER,AVIATION,"60155.47341914715,89844.52658085285",20234
31369,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",33760
31370,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",29520
31371,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"79277.47341914715,108966.52658085285",32220
31372,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",30420
31373,ADMINISTRATIVE ASST II,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",20224
31374,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",28200
31375,SANITATION CLERK,STREETS & SAN,"60155.47341914715,89844.52658085285",20251
31376,LIBRARY PAGE,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",26400
31377,TRAFFIC CONTROL AIDE-HOURLY,OEMC,"60155.47341914715,89844.52658085285",29300
31378,FIREFIGHTER-EMT,FIRE,"80639.47341914715,110328.52658085285",27270
31379,CUSTODIAL WORKER,WATER MGMNT,"60155.47341914715,89844.52658085285",52100
31380,MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",3000
31381,DEPUTY CHIEF OF STAFF,MAYOR'S OFFICE,"155159.47341914714,184848.52658085286",2200
31382,AVIATION SECURITY OFFICER,AVIATION,"60155.47341914715,89844.52658085285",32310
31383,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"82595.47341914715,112284.52658085285",27300
31384,LIEUTENANT-EMT,FIRE,"103151.47341914715,132840.52658085286",3290
31385,SR LEGAL PERSONAL COMPUTER OPERATOR,LAW,"60155.47341914715,89844.52658085285",26350
31386,CROSSING GUARD - PER CBA,OEMC,"60155.47341914715,89844.52658085285",33350
31387,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",27180
31388,STAFF ASST,FIRE,"69575.47341914715,99264.52658085285",4200
31389,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",9800
31390,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",29160
31391,CUSTODIAL WORKER,WATER MGMNT,"60155.47341914715,89844.52658085285",30330
31392,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",3380
31393,DISPATCH CLERK,ANIMAL CONTRL,"60155.47341914715,89844.52658085285",20213
31394,FOSTER GRANDPARENT,FAMILY & SUPPORT,"60155.47341914715,89844.52658085285",27370
31395,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",4000
31396,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",2340
31397,PROJECTS ADMINISTRATOR,AVIATION,"78107.47341914715,107796.52658085285",28800
31398,TRAFFIC CONTROL AIDE-HOURLY,OEMC,"60155.47341914715,89844.52658085285",5260
31399,POLICE COMMUNICATIONS OPERATOR II,OEMC,"60155.47341914715,89844.52658085285",50340
31400,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",32130
31401,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",51600
31402,MECHANICAL ENGINEER V,AVIATION,"83855.47341914715,113544.52658085285",20121
31403,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",32320
31404,DEPUTY CHIEF,POLICE,"155267.47341914714,184956.52658085286",20134
31405,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",29260
31406,ADMINISTRATIVE ASST,CITY COUNCIL,"60155.47341914715,89844.52658085285",30390
31407,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",26240
31408,TRAFFIC CONTROL AIDE-HOURLY,OEMC,"60155.47341914715,89844.52658085285",31480
31409,SERGEANT,POLICE,"93143.47341914715,122832.52658085285",32300
31410,LAW CLERK,LAW,"60155.47341914715,89844.52658085285",2110
31411,FIRE ENGINEER-EMT,FIRE,"88505.47341914715,118194.52658085285",51290
31412,TRAFFIC CONTROL AIDE-HOURLY,OEMC,"60155.47341914715,89844.52658085285",28170
31413,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",32100
31414,SUPVSR OF ACCOUNTING,FINANCE,"68639.47341914715,98328.52658085285",9100
31415,LIBRARIAN I,PUBLIC LIBRARY,"61703.47341914715,91392.52658085285",27310
31416,MOTOR TRUCK DRIVER,WATER MGMNT,"60155.47341914715,89844.52658085285",8500
31417,ACCOUNTANT III,FINANCE,"77543.47341914715,107232.52658085285",29690
31418,ELECTRICAL MECHANIC,AVIATION,"81043.47341914715,110732.52658085285",28300
31419,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",7110
31420,AIRPORT FACILITIES MANAGER,AVIATION,"60155.47341914715,89844.52658085285",28200
31421,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",51500
31422,AVIATION SECURITY OFFICER,AVIATION,"60155.47341914715,89844.52658085285",29630
31423,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",4220
31424,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",30190
31425,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",30120
31426,DIR OF TRAIN/PROF DEV - COPA,COPA,"76343.47341914715,106032.52658085285",30140
31427,ADMINISTRATIVE ASST II,FINANCE,"60155.47341914715,89844.52658085285",33670
31428,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",9300
31429,CLERK II,FAMILY & SUPPORT,"60155.47341914715,89844.52658085285",33810
31430,SENIOR DATA ENTRY OPERATOR,POLICE,"60155.47341914715,89844.52658085285",8460
31431,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",1160
31432,OPERATING ENGINEER-GROUP A,GENERAL SERVICES,"83830.67341914715,113519.72658085285",1250
31433,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",20228
31434,FINANCIAL PLANNING ANALYST,COMMUNITY DEVELOPMENT,"85847.47341914715,115536.52658085285",31570
31435,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",33350
31436,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",50680
31437,LIEUTENANT-PARAMEDIC,FIRE,"105959.47341914715,135648.52658085286",1360
31438,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",2270
31439,FIELD PAYROLL AUDITOR,STREETS & SAN,"69539.47341914715,99228.52658085285",27370
31440,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",32400
31441,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",28800
31442,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",32260
31443,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",27290
31444,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",26110
31445,WEB AUTHOR,AVIATION,"60155.47341914715,89844.52658085285",33660
31446,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",33720
31447,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",26800
31448,HOISTING ENGINEER,WATER MGMNT,"87283.47341914715,116972.52658085285",1360
31449,POOL MOTOR TRUCK DRIVER,AVIATION,"60155.47341914715,89844.52658085285",51600
31450,STUDENT INTERN,HUMAN RESOURCES,"60155.47341914715,89844.52658085285",7510
31451,GLAZIER,GENERAL SERVICES,"71891.47341914715,101580.52658085285",32300
31452,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",1120
31453,LIBRARY PAGE,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",32500
31454,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",2420
31455,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"82595.47341914715,112284.52658085285",32410
31456,CLERK IV,FIRE,"60155.47341914715,89844.52658085285",30630
31457,ANIMAL CARE AIDE I,ANIMAL CONTRL,"60155.47341914715,89844.52658085285",2880
31458,PUBLIC HEALTH ADMINISTRATOR III,HEALTH,"86747.47341914715,116436.52658085285",52100
31459,FIELD SUPVSR,TRANSPORTN,"107435.47341914715,137124.52658085286",26450
31460,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,"98009.47341914715,127698.52658085285",9100
31461,EPIDEMIOLOGIST IV,HEALTH,"96059.47341914715,125748.52658085285",1450
31462,TRAFFIC ENFORCEMENT TECH,FINANCE,"60155.47341914715,89844.52658085285",4270
31463,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",31420
31464,FIREFIGHTER,FIRE,"78821.47341914715,108510.52658085285",34260
31465,SERGEANT,POLICE,"96629.47341914715,126318.52658085285",33350
31466,WARRANT AND EXTRADITION AIDE,POLICE,"69575.47341914715,99264.52658085285",50760
31467,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",2330
31468,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",52270
31469,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",27150
31470,ASST TO THE ALDERMAN,CITY COUNCIL,"60155.47341914715,89844.52658085285",27270
31471,AUDITOR II,FINANCE,"77543.47341914715,107232.52658085285",1420
31472,FREEDOM OF INFORMATION ACT OFFICER,POLICE,"60155.47341914715,89844.52658085285",30570
31473,INVESTIGATOR-COPA,COPA,"107471.47341914715,137160.52658085286",9400
31474,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",33760
31475,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",2200
31476,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",4230
31477,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",50200
31478,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",28360
31479,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",28290
31480,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",50480
31481,SUPVSR OF CHILDREN SERVICES PROGRAMS,FAMILY & SUPPORT,"70163.47341914715,99852.52658085285",33760
31482,GENERAL LABORER - DSS,STREETS & SAN,"60155.47341914715,89844.52658085285",32700
31483,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",33920
31484,FIREFIGHTER-EMT,FIRE,"80639.47341914715,110328.52658085285",33190
31485,PROJECTS ADMINISTRATOR,HEALTH,"93059.47341914715,122748.52658085285",7200
31486,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",5230
31487,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",26230
31488,LIEUTENANT-EMT,FIRE,"103151.47341914715,132840.52658085286",2580
31489,PARAMEDIC I/C,FIRE,"79277.47341914715,108966.52658085285",3240
31490,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"86135.47341914715,115824.52658085285",27120
31491,FIREFIGHTER-EMT (RECRUIT),FIRE,"60155.47341914715,89844.52658085285",2250
31492,PROJECT COORD,COMMUNITY DEVELOPMENT,"66347.47341914715,96036.52658085285",31360
31493,FOREMAN OF PLUMBERS,TRANSPORTN,"89675.47341914715,119364.52658085285",2320
31494,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"86135.47341914715,115824.52658085285",31290
31495,ELECTRICAL MECHANIC,WATER MGMNT,"81043.47341914715,110732.52658085285",4320
31496,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",20213
31497,AVIATION SECURITY OFFICER,AVIATION,"60155.47341914715,89844.52658085285",5140
31498,DISTRICT CLERK - ASPHALT,TRANSPORTN,"60155.47341914715,89844.52658085285",2820
31499,DEPUTY COMPTROLLER,FINANCE,"104459.47341914715,134148.52658085286",30730
31500,LIEUTENANT-EMT,FIRE,"103151.47341914715,132840.52658085286",31230
31501,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",26790
31502,CROSSING GUARD,OEMC,"60155.47341914715,89844.52658085285",32220
31503,POOL MOTOR TRUCK DRIVER,TRANSPORTN,"60155.47341914715,89844.52658085285",50540
31504,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",31800
31505,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",20190
31506,DIR OF MAINTENANCE OPERATIONS,GENERAL SERVICES,"102815.47341914715,132504.52658085286",33130
31507,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",50680
31508,ASST CORPORATION COUNSEL III,LAW,"60155.47341914715,89844.52658085285",2500
31509,PARAMEDIC I/C,FIRE,"86135.47341914715,115824.52658085285",30330
31510,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",26100
31511,CAPTAIN,FIRE,"114125.47341914715,143814.52658085286",9300
31512,FIREFIGHTER/PARAMEDIC,FIRE,"72047.47341914715,101736.52658085285",8200
31513,CROSSING GUARD - PER CBA,OEMC,"60155.47341914715,89844.52658085285",3190
31514,HOISTING ENGINEER,STREETS & SAN,"87283.47341914715,116972.52658085285",31160
31515,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",32290
31516,AVIATION SECURITY OFFICER,AVIATION,"62675.47341914715,92364.52658085285",30350
31517,MANAGING DEPUTY COMMISSIONER,AVIATION,"133643.47341914714,163332.52658085286",32220
31518,LIEUTENANT,POLICE,"112847.47341914715,142536.52658085286",2240
31519,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",2210
31520,LIEUTENANT,POLICE,"109049.47341914715,138738.52658085286",33820
31521,ASST CORPORATION COUNSEL I,LAW,"60155.47341914715,89844.52658085285",33180
31522,FIREFIGHTER-EMT,FIRE,"77429.47341914715,107118.52658085285",7410
31523,SENIOR ADMINISTRATIVE LAW OFFICER,ADMIN HEARNG,"81791.47341914715,111480.52658085285",52160
31524,POLICE OFFICER,POLICE,"65171.47341914715,94860.52658085285",29970
31525,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",33190
31526,STUDIO EQUIPMENT MANAGER,BUSINESS AFFAIRS,"92375.47341914715,122064.52658085285",32230
31527,POLICE OFFICER,POLICE,"61421.47341914715,91110.52658085285",32320
31528,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",32380
31529,SUPERVISING POLICE COMMUNICATIONS OPERATOR,OEMC,"84179.47341914715,113868.52658085285",26110
31530,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"86135.47341914715,115824.52658085285",9190
31531,ELECTRICAL MECHANIC (AUTOMOTIVE),GENERAL SERVICES,"81043.47341914715,110732.52658085285",31350
31532,AMBULANCE COMMANDER,FIRE,"102971.47341914715,132660.52658085286",30340
31533,CROSSING GUARD,OEMC,"60155.47341914715,89844.52658085285",30250
31534,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",30000
31535,OPERATING ENGINEER-GROUP C,WATER MGMNT,"78901.07341914716,108590.12658085286",27410
31536,CONSTRUCTION LABORER,WATER MGMNT,"68771.47341914715,98460.52658085285",33410
31537,SERGEANT,POLICE,"89783.47341914715,119472.52658085285",27600
31538,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",29790
31539,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",27920
31540,FRM OF MACHINISTS - AUTOMOTIVE,GENERAL SERVICES,"86763.47341914715,116452.52658085285",28700
31541,CHIEF,POLICE,"170519.47341914714,200208.52658085286",4110
31542,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",3110
31543,POLICE OFFICER,POLICE,"61421.47341914715,91110.52658085285",32490
31544,DEPUTY CITY TREASURER,TREASURER,"135155.47341914714,164844.52658085286",2110
31545,SUPVR OF BUSINESS COMPLIANCE INVESTIGATIONS,BUSINESS AFFAIRS,"66347.47341914715,96036.52658085285",50380
31546,DETENTION AIDE,POLICE,"60155.47341914715,89844.52658085285",29950
31547,DETENTION AIDE,POLICE,"60155.47341914715,89844.52658085285",34290
31548,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",33800
31549,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",28240
31550,LEGISLATIVE AIDE,CITY COUNCIL,"60155.47341914715,89844.52658085285",30820
31551,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",52160
31552,DISABILITY SPECIALIST II,DISABILITIES,"60155.47341914715,89844.52658085285",20229
31553,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",33190
31554,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",51250
31555,MANAGING DEPUTY BUDGET DIRECTOR,BUDGET & MGMT,"111719.47341914715,141408.52658085286",51150
31556,SERGEANT,POLICE,"86597.47341914715,116286.52658085285",3120
31557,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",50760
31558,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",2360
31559,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",33370
31560,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",27230
31561,POOL MOTOR TRUCK DRIVER,WATER MGMNT,"60155.47341914715,89844.52658085285",52220
31562,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",25170
31563,PARALEGAL II,LAW,"62087.47341914715,91776.52658085285",31600
31564,LABORER,AVIATION,"60155.47341914715,89844.52658085285",27670
31565,LABORER,AVIATION,"60155.47341914715,89844.52658085285",28630
31566,PAYMENT SERVICES REPRESENTATIVE,FINANCE,"60155.47341914715,89844.52658085285",32270
31567,TRAFFIC CONTROL AIDE-HOURLY,OEMC,"60155.47341914715,89844.52658085285",8270
31568,TRAFFIC CONTROL AIDE-HOURLY,OEMC,"60155.47341914715,89844.52658085285",50480
31569,BRIDGE OPERATOR,TRANSPORTN,"60155.47341914715,89844.52658085285",28170
31570,CONSTRUCTION LABORER,WATER MGMNT,"68771.47341914715,98460.52658085285",31340
31571,FIREFIGHTER-EMT,FIRE,"74303.47341914715,103992.52658085285",1330
31572,CONSTRUCTION LABORER (SUB-FOREMAN),WATER MGMNT,"70435.47341914715,100124.52658085285",26340
31573,BRIDGE OPERATOR,TRANSPORTN,"60155.47341914715,89844.52658085285",20137
31574,SENIOR SYSTEMS PROGRAMMER,BUSINESS AFFAIRS,"95219.47341914715,124908.52658085285",27560
31575,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",2160
31576,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",1140
31577,FIREFIGHTER,FIRE,"82541.47341914715,112230.52658085285",8230
31578,SUPVSR OF VOUCHER AUDITING,AVIATION,"70163.47341914715,99852.52658085285",6340
31579,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"89087.47341914715,118776.52658085285",33340
31580,POLICE COMMUNICATIONS OPERATOR I,OEMC,"60155.47341914715,89844.52658085285",26400
31581,SERGEANT,POLICE,"86597.47341914715,116286.52658085285",9250
31582,YOUTH SERVICES COORD,POLICE,"73499.47341914715,103188.52658085285",20135
31583,PARAMEDIC,FIRE,"60155.47341914715,89844.52658085285",30750
31584,PARAMEDIC,FIRE,"61421.47341914715,91110.52658085285",32390
31585,SERGEANT,POLICE,"89783.47341914715,119472.52658085285",4700
31586,FIREFIGHTER/PARAMEDIC,FIRE,"76427.47341914715,106116.52658085285",32120
31587,DIR OF ADMINISTRATION II,STREETS & SAN,"60155.47341914715,89844.52658085285",2420
31588,LOAD DISPATCHER,TRANSPORTN,"86867.47341914715,116556.52658085285",5200
31589,CROSSING GUARD - PER CBA,OEMC,"60155.47341914715,89844.52658085285",32380
31590,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",2120
31591,TRAFFIC CONTROL AIDE-HOURLY,OEMC,"60155.47341914715,89844.52658085285",31230
31592,FIREFIGHTER-EMT,FIRE,"77429.47341914715,107118.52658085285",8800
31593,POLICE OFFICER/EXPLSV DETECT K9 HNDLR,POLICE,"83207.47341914715,112896.52658085285",2400
31594,SENIOR LIBRARY CLERK,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",8260
31595,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",28300
31596,CHIEF,POLICE,"170519.47341914714,200208.52658085286",2300
31597,FIREFIGHTER-EMT,FIRE,"74303.47341914715,103992.52658085285",1270
31598,MOTOR TRUCK DRIVER,TRANSPORTN,"60155.47341914715,89844.52658085285",7310
31599,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",32600
31600,POLICE OFFICER,POLICE,"65171.47341914715,94860.52658085285",29880
31601,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",8150
31602,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",33850
31603,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",33460
31604,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",3800
31605,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",6470
31606,DETENTION AIDE,POLICE,"60155.47341914715,89844.52658085285",6850
31607,TRAFFIC CONTROL AIDE-HOURLY,OEMC,"60155.47341914715,89844.52658085285",6420
31608,LIBRARY ASSOCIATE - HOURLY,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",52360
31609,DEPUTY CHIEF ADMINISTRATOR,COPA,"111719.47341914715,141408.52658085286",30360
31610,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",31160
31611,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",32160
31612,FIRE ENGINEER-EMT,FIRE,"92261.47341914715,121950.52658085285",20124
31613,SERGEANT,POLICE,"89783.47341914715,119472.52658085285",4170
31614,PLUMBER,TRANSPORTN,"85515.47341914715,115204.52658085285",2860
31615,CROSSING GUARD,OEMC,"60155.47341914715,89844.52658085285",51300
31616,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",50480
31617,AMBULANCE COMMANDER,FIRE,"110285.47341914715,139974.52658085286",8300
31618,LIEUTENANT,POLICE,"105407.47341914715,135096.52658085286",29170
31619,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",31310
31620,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",2480
31621,SANITATION CLERK,STREETS & SAN,"60155.47341914715,89844.52658085285",31310
31622,POLICE OFFICER,POLICE,"65171.47341914715,94860.52658085285",27190
31623,CROSSING GUARD,OEMC,"60155.47341914715,89844.52658085285",26510
31624,CROSSING GUARD - PER CBA,OEMC,"60155.47341914715,89844.52658085285",52230
31625,DEPUTY COMMISSIONER,TRANSPORTN,"112979.47341914715,142668.52658085286",2110
31626,FIREFIGHTER-EMT,FIRE,"77429.47341914715,107118.52658085285",32300
31627,AUDITOR II,FINANCE,"60155.47341914715,89844.52658085285",34480
31628,MOTOR TRUCK DRIVER,AVIATION,"60155.47341914715,89844.52658085285",2840
